authors,title,source,type,keywords,abstract,times_cited,PY,VL,IS,BP,EP,DI,synergy,antag,additive,check
"Sonnier, G; Shipley, B; Navas, ML",quantifying relationships between traits and explicitly measured gradients of stress and disturbance in early successional plant communities,JOURNAL OF VEGETATION SCIENCE,Article,Community weighted mean of trait; Community weighted variance of trait; Environmental filtering; Structural equation model; Trait-environment linkages,"questions how can one explicitly quantify, and separately measure, stress and disturbance gradients? how do these gradients affect functional composition in early successional plant communities and to what extent? can we accurately predict trait composition from knowledge of these gradients? location southern quebec, canada. methods using eight environmental variables measured in 48 early successional plant communities, we estimated stress and disturbance gradients through structural equation modelling. we then measured 10 functional traits on the most abundant species of these 48 communities and calculated their community-level mean and variance weighted by the relative abundance of each species. finally, we related these community-weighted means and variances to the estimated stress and disturbance gradients using general linear models or generalized additive models. results we obtained a well-fitting measurement model of the stress and disturbance gradients existing in our sites. of the 10 studied traits, only average plant reproductive height was strongly correlated with the stress (r2=0.464) and disturbance (r2=0.543) gradients. leaf traits were not significantly related to either the stress or disturbance gradients. conclusions the well-fitting measurement model of the stress and disturbance gradients, combined with the generally weak trait-environment linkages, suggests that community assembly in these early successional plant communities is driven primarily by stochastic processes linked to the history of arrival of propagules and not to trait-based environmental filtering.",19,2010,21,6,1014,1024,10.1111/j.1654-1103.2010.01210.x,0,0,1,1
"Bowman, DMJS; Prior, LD; De Little, SC",retreating melaleuca swamp forests in kakadu national park: evidence of synergistic effects of climate change and past feral buffalo impacts,AUSTRAL ECOLOGY,Article,aerial photography; feral animal impact; forest decline; landscape change; multimodel inference,"melaleuca swamp forests form a fringe around seasonally inundated freshwater flood plains of kakadu national park (knp). previous studies based on the analysis of aerial photography reported an increase in woody plant cover on these flood plains, apparently associated with changed fire regimes, increased rainfall and possibly increased atmospheric co2. in opposition to this woody vegetation encroachment past high densities of feral buffalo in the 1960 to mid 1980s changed the hydrology of the knp flood plains, allowing increased penetration of saltwater causing extensive death of melaleuca forests. climate change has increased sea levels and there is concern that this will threaten the freshwater ecosystems of knp. we hypothesized that melaleuca forests that were previously impacted by high densities of feral buffalo have continued to decline because of salinization driven by sea level rise. we examined this hypothesis by overlaying georeferenced aerial photography taken in 1964, 1984 and 2004 in a geographic information environment, and then constructing generalized linear fixed effects and mixed effects models to rank the statistical strength of different drivers of melaleuca forest contraction. we found that there has been a 5% overall contraction of melaleuca forests over the last 50 years on our study sites, although the amount of contraction varied both geographically and temporally. the amount of melaleuca forest contraction was greatest during the 1984-2004 interval, when buffalo densities were low. contraction was greatest on the melaleuca forest edges, at low-lying sites, and where high densities of buffalo were apparent in 1964. these results suggest the enduring legacy effect of past buffalo damage will amplify the effects of sea level rise on the flood plains of knp.",3,2010,35,8,898,905,10.1111/j.1442-9993.2009.02096.x,1,0,0,1
"Vaidyanathan, S; Krishnaswamy, J; Kumar, NS; Dhanwatey, H; Dhanwatey, P; Karanth, KU",patterns of tropical forest dynamics and human impacts: views from above and below the canopy,BIOLOGICAL CONSERVATION,Article,Tadoba; Remote sensing; Trend analysis; Spatial regression; NDVI; AVHRR; SPOT; CVI; GIMMS; Rainfall anomalies; Human disturbance,"tropical forests are influenced by regional and global bio-climatic processes as well as local anthropogenic disturbances. most studies have ignored the synergistic influence of bio-physical processes operating at large spatial scales and local human use on forest vegetation and fauna. assessments of forest condition change using time-series of remotely sensed data need to be supported by measurements under the canopy. the tadoba-andhari tiger reserve (tatr) in india is a protected area that has a long history of human resource extraction and settlements. like much of south asia. it has undergone major shifts in rainfall in the last hundred years. we examine trends in forest greenness over two and half decades and assess spatial patterns in rates of change. we also analyze ground based measurements of human impacts on flora and fauna. trends in forest canopy greenness show two distinct phases: a period of decline from 1980s to mid-90s, followed by a recovery. these trends are a function of initial greenness and are best explained by prevailing climatic regimes, feed-backs from human use, and park management practices and protection. negative impacts to flora and fauna on the ground were, however, wide-spread during the recovery period and are influenced by proximity to nearest settlement as well as combined distance from all settlements. remotely sensed data cannot effectively detect these processes under the canopy. there is an urgent need to incorporate monitoring of long-term bio-climatic processes and their interaction with short and long-term effects of human-use and disturbance arising from processes at local, regional and larger spatial scales around protected areas to effectively manage these reserves. (c) 2010 elsevier ltd. all rights reserved.",3,2010,143,12,2881,2890,10.1016/j.biocon.2010.04.027,1,0,0,1
"Persha, L; Fischer, H; Chhatre, A; Agrawal, A; Benson, C",biodiversity conservation and livelihoods in human-dominated landscapes: forest commons in south asia,BIOLOGICAL CONSERVATION,Article,Protected areas; Institutions; Decentralization; Tree species richness; Multiple outcomes,"strict protected areas are a critical component in global biodiversity conservation, but the future of biodiversity conservation may well depend upon the ability to experiment successfully with a range of institutional forms, including those that permit human use. here, we focus on forest commons in human-dominated landscapes and their role in biodiversity conservation at the same time as they provide livelihood benefits to users. using a dataset of 59 forest commons located in bhutan, india, and nepal, we estimated tree species richness from plot vegetation data collected in each forest, and drew on interview data to calculate a livelihoods index indicating the overall contribution of each forest to villager livelihoods for firewood, fodder, and timber. we found that tree species richness and livelihoods were positively and significantly correlated (rho = .41, p < 0.001, n = 59). this relationship held regardless of forest type or country, though significance varied somewhat across these two factors. further, both benefits were similarly associated with several drivers of social-ecological change (e.g., occupational diversity of forest users, total number of users, and forest size), suggesting identification of potential synergies and complexes of causal mechanisms for future attention. our analysis shows that forest commons in south asia, explicitly managed to provide livelihoods for local populations, also provide biodiversity benefits. more broadly, our findings suggest that although strict protected areas are effective tools for biodiversity conservation, a singular focus on them risks ignoring other resource governance approaches that can fruitfully complement existing conservation regimes. (c) 2010 elsevier ltd. all rights reserved.",17,2010,143,12,2918,2925,10.1016/j.biocon.2010.03.003,1,0,0,1
"Jacob, A; Evanno, G; von Siebenthal, BA; Grossen, C; Wedekind, C",effects of different mating scenarios on embryo viability in brown trout,MOLECULAR ECOLOGY,Article,compatible genes; good genes; melanin-based colours; major histocompatibility complex; pathogen resistance; Salmonid,"mating with attractive or dominant males is often predicted to offer indirect genetic benefits to females, but it is still largely unclear how important such non-random mating can be with regard to embryo viability. we sampled a natural population of adult migratory brown trout (salmo trutta), bred them in vitro in a half-sib breeding design to separate genetic from maternal environmental effects, raised 2098 embryos singly until hatching, and exposed them experimentally to different levels of pathogen stress at a late embryonic stage. we found that the embryos' tolerance to the induced pathogen stress was linked to the major histocompatibility complex (mhc) of their parents, i.e. certain mhc genotypes appeared to provide better protection against infection than others. we also found significant additive genetic variance for stress tolerance. melanin-based dark skin patterns revealed males with 'good genes', i.e. embryos fathered by dark coloured males had a high tolerance to infection. mating with large and dominant males would, however, not improve embryo viability when compared to random mating. we used simulations to provide estimates of how mate choice based on mhc or melanin-based skin patterns would influence embryos' tolerance to the experimentally induced pathogen stress.",18,2010,19,23,5296,5307,10.1111/j.1365-294X.2010.04884.x,0,0,1,1
"St Clair, JJH; Garcia-Pena, GE; Woods, RW; Szekely, T",presence of mammalian predators decreases tolerance to human disturbance in a breeding shorebird,BEHAVIORAL ECOLOGY,Article,antipredator behavior; feral cats; human disturbance; introduced predators; natural experiment; nest predation; predation risk; shorebird,"nonlethal disturbance can impose fitness costs, particularly during sensitive life history stages such as reproduction. prey animals are thus expected to assess the costs and benefits of expressing antipredator behavior in different circumstances and to respond optimally according to the perceived risk of predation. one prediction of this hypothesis is that the response to nonlethal disturbance should be elevated when the risk of predation is high, although few studies have tested this prediction with respect to the distribution of actual predators in nature. we used landscape-level variation in the distribution of large mammalian predators (feral cats) to investigate antipredator behavior in a small breeding shorebird, the two-banded plover charadrius falklandicus. we used 8 sites in the falkland islands and argentina and measured the flushing distances of incubating two-banded plovers in response to a controlled human approach to the nest. we found that flushing distances were increased at sites where mammalian predators were present and decreased where exposure to humans was high. these effects were additive, and we interpret them as the effects of generalization and habituation, respectively.",10,2010,21,6,1285,1292,10.1093/beheco/arq144,0,0,1,1
"Pedrana, J; Bustamante, J; Travaini, A; Rodriguez, A",factors influencing guanaco distribution in southern argentine patagonia and implications for its sustainable use,BIODIVERSITY AND CONSERVATION,Article,Lama guanicoe; Unregulated hunting; Argentine Patagonia; Distribution models; Predictive cartography; Regional scale,"the guanaco (lama guanicoe) has suffered a progressive decline in numbers because of unregulated hunting and poaching by an assumed competition with sheep. inadequate livestock management, including keeping sheep numbers above carrying capacity, has led to a degradation of the patagonian steppe. recently, interest has grown towards a reduction in sheep density and diversification of extractive activities. guanaco populations could be potentially amenable to a number of sustainable uses. our aim was to investigate the factors that determine guanaco distribution in southern argentine patagonia and to generate a predictive cartography at the regional scale. we hypothesized that guanaco distribution could be determined by primary productivity, terrain ruggedness, human disturbance and poaching, and competition with livestock. guanaco surveys were performed from vehicles using a road survey method. to analyze the relationship between guanaco occurrence and potential predictors we built generalized additive models (gams) using a binomial error and a logistic link. we found that guanaco occurrence increased in the less productive and remote areas, far from cities and oil camps, and decreased in regions with high sheep density. these results suggest that guanacos tend to occur where human pressure is lower. one way to promote guanaco conservation would be to highlight the economic value of guanacos under the regulations imposed by a sustainable exploitation of their populations. the predictive models developed here could be a useful tool for the implementation of conservation and management programs at the regional scale.",12,2010,19,12,3499,3512,10.1007/s10531-010-9910-1,0,0,1,1
"Lomba, A; Pellissier, L; Randin, C; Vicente, J; Moreira, F; Honrado, J; Guisan, A",overcoming the rare species modelling paradox: a novel hierarchical framework applied to an iberian endemic plant,BIOLOGICAL CONSERVATION,Article,BIOMOD; Conservation; Ensemble modelling; Hierarchic modelling; Rare species; Species distribution modelling,"rare species have restricted geographic ranges, habitat specialization, and/or small population sizes. datasets on rare species distribution usually have few observations, limited spatial accuracy and lack of valid absences; conversely they provide comprehensive views of species distributions allowing to realistically capture most of their realized environmental niche. rare species are the most in need of predictive distribution modelling but also the most difficult to model. we refer to this contrast as the ""rare species modelling paradox"" and propose as a solution developing modelling approaches that deal with a sufficiently large set of predictors, ensuring that statistical models are not over-fitted. our novel approach fulfils this condition by fitting a large number of bivariate models and averaging them with a weighted ensemble approach. we further propose that this ensemble forecasting is conducted within a hierarchic multi-scale framework. we present two ensemble models for a test species, one at regional and one at local scale, each based on the combination of 630 models. in both cases, we obtained excellent spatial projections, unusual when modelling rare species. model results highlight, from a statistically sound approach, the effects of multiple drivers in a same modelling framework and at two distinct scales. from this added information, regional models can support accurate forecasts of range dynamics under climate change scenarios, whereas local models allow the assessment of isolated or synergistic impacts of changes in multiple predictors. this novel framework provides a baseline for adaptive conservation, management and monitoring of rare species at distinct spatial and temporal scales. (c) 2010 elsevier ltd. all rights reserved.",25,2010,143,11,2647,2657,10.1016/j.biocon.2010.07.007,1,0,0,1
"Baer, CF; Joyner-Matos, J; Ostrow, D; Grigaltchik, V; Salomon, MP; Upadhyay, A",rapid decline in fitness of mutation accumulation lines of gonochoristic (outcrossing) caenorhabditis nematodes,EVOLUTION,Article,Caenorhabditis brenneri; Caenorhabditis remanei; mating system; mutation rate; mutational variance,"evolutionary theory predicts that the strength of natural selection to reduce the mutation rate should be stronger in self-fertilizing than in outcrossing taxa. however, the relative efficacy of selection on mutation rate relative to the many other factors influencing the evolution of any species is poorly understood. to address this question, we allowed mutations to accumulate for similar to 100 generations in several sets of ""mutation accumulation"" (ma) lines in three species of gonochoristic (dieocious) caenorhabditis (c. remanei, c. brenneri, c. sp. 5) as well as in a dioecious strain of the historically self-fertile hermaprohodite c. elegans. in every case, the rate of mutational decay is substantially greater in the gonochoristic taxa than in c. elegans (similar to 4x greater on average). residual heterozygosity in the ancestral controls of these ma lines introduces some complications in interpreting the results, but circumstantial evidence suggests the results are not primarily due to inbreeding depression resulting from residual segregating variation. the results suggest that natural selection operates to optimize the mutation rate in caenorhabditis and that the strength (or efficiency) of selection differs consistently on the basis of mating system, as predicted by theory. however, context-dependent environmental and/or synergistic epistasis could also explain the results.",9,2010,64,11,3242,3253,10.1111/j.1558-5646.2010.01061.x,1,0,0,1
"Bouwhuis, S; Charmantier, A; Verhulst, S; Sheldon, BC",individual variation in rates of senescence: natal origin effects and disposable soma in a wild bird population,JOURNAL OF ANIMAL ECOLOGY,Article,ageing; cost of reproduction; disposable soma; great tit; immigrant status; life-history; Parus major; senescence; trade-off,"p>1. longitudinal studies of various vertebrate populations have recently demonstrated senescent declines in reproductive performance and/or survival probability with age to be almost ubiquitous in nature. little is known, however, about the extent to which rates of senescence vary between individuals, and about causes or consequences of such variation. quantifying these links in natural populations is important for understanding the constraints and adaptive processes underlying the evolution of senescence. 2. here, we analyse breeding data from 1029 female great tits parus major to quantify the effect of natal conditions and early life reproduction on rates of reproductive senescence, reproductive life span and lifetime reproductive success. 3. although for locally born females we find no evidence that natal conditions influence rates of reproductive senescence, we show that immigrant females suffer from faster rates of senescence than locally born females, and that this difference contributes to immigrants having a lower lifetime reproductive success. 4. additionally, and independently, we find rates of reproductive senescence to increase with rates of early life reproduction, as predicted by the disposable soma hypothesis. despite accelerated senescence late in life, high early life reproduction is, however, positively associated with lifetime reproductive success across individuals. 5. female immigrant status and early life reproduction do not relate to reproductive life span. 6. we thus show that both immigration into our population, and high levels of early life reproduction, are associated with reduced late life reproductive performance in female great tits, but that fitness can be increased by high levels of early life reproduction at the expense of accelerated reproductive senescence. these results suggest disposable soma to be a likely mechanism underlying senescence in these birds, and encourage further study of the genetic basis (i.e. antagonistic pleiotropy) of such an early vs. late life trade-off.",38,2010,79,6,1251,1261,10.1111/j.1365-2656.2010.01730.x,0,1,0,1
